ID,Platform,Channel id,Channel name,Channel tags,Category,Post id,Post type,Post description,Link,Publish time,Hashtag,Engagement,Reaction,Comment,Share,View,Engaged users,Negative feedback,Click,Impression Deprecated,Impression,Paid impression,Paid reach,Organic Impression,Organic reach,Viral Impression,Non-viral impression,Reaction_like,Reaction_love,Reaction_wow,Reaction_haha,Reaction_sorry,Reaction_angry,Video avg time watched (second),Organic view,Paid view,View time (second),Organic complete view,Paid complete view,15s view,Organic view time (second),Unique Viewer,Duration (second),3s view
41532809,Facebook,109434243802681,Đấu Trường Chân Lý,,track-competitors,1302263981922966,REEL,Đầu năm đỏ đỏ cùng bé Miss Fortune 😍😍😍 #dautruongchanlyofficial #dautruongchanlychannel #dautruongchanlymobile,https://www.facebook.com/reel/932764849074057/,2026-01-02 18:01:58,#dautruongchanlyofficial #dautruongchanlychannel #dautruongchanlymobile,348,336,11,1,40000,,,,,,,,,,,,,,,,,,,,,,,,,,,28,13088
41532761,Facebook,109434243802681,Đấu Trường Chân Lý,,track-competitors,1302378071911557,PHOTO,"Nuôi bé khủng long này sao cho chuẩn bài đâyyy 🔥🔥🔥 Nhờ anh em cờ thủ giúp đỡ 😎😎😎
----------------------—
- Trang nạp chính thức của ĐTCL Mobile: https://shop.vnggames.com/vn/game/dtcl
- Mua RP tại trang web chính thức: https://shop.vnggames.com/vn/game/lienminh
- Đội ngũ hỗ trợ người chơi của chúng tôi sẽ luôn sẵn sàng hỗ trợ tại: https://dtcl.vnggames.com/ho-tro-khach-hang/
#dautruongchanlyofficial #dautruongchanlymobile #dautruongchanlychannel",https://www.facebook.com/DTCLVN/posts/pfbid0vouto6q1zDa2RfvRUeXwZCgqigvBV4FKe3Q7WzaDo5SU8JBBLHs4qy2t6W9oJXtNl,2026-01-02 21:25:26,#dautruongchanlyofficial #dautruongchanlymobile #dautruongchanlychannel,1298,1167,127,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41532753,Facebook,109434243802681,Đấu Trường Chân Lý,,track-competitors,1302708891878475,TEXT,Đội hinh Veigo Quần Đảo Bóng Đêm cho anh em cờ thủ trải nghiệm đâyyyy 🔥🔥🔥 #dautruongchanlyofficial #dautruongchanlychannel #dautruongchanlymobile,https://www.facebook.com/reel/1175956618069852/,2026-01-03 09:00:54,#dautruongchanlyofficial #dautruongchanlychannel #dautruongchanlymobile,2098,1977,52,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41532751,Facebook,109434243802681,Đấu Trường Chân Lý,,track-competitors,1302814918534539,PHOTO,"Chọn Demacia hay bán tất cả để lấy Sylas 🤣🤣🤣 
----------------------—
- Trang nạp chính thức của ĐTCL Mobile: https://shop.vnggames.com/vn/game/dtcl
- Mua RP tại trang web chính thức: https://shop.vnggames.com/vn/game/lienminh
- Đội ngũ hỗ trợ người chơi của chúng tôi sẽ luôn sẵn sàng hỗ trợ tại: https://dtcl.vnggames.com/ho-tro-khach-hang/
#dautruongchanlyofficial #dautruongchanlymobile #dautruongchanlychannel",https://www.facebook.com/DTCLVN/posts/pfbid0V2Pa718NjWfVTWWUPBKFNxh6LS9cvzbcvXgsxGXhCHuUrmy5ejj7a9w1ZUzxZ4pMl,2026-01-03 12:46:43,#dautruongchanlyofficial #dautruongchanlymobile #dautruongchanlychannel,1668,1423,238,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41532735,Facebook,109434243802681,Đấu Trường Chân Lý,,track-competitors,1302894355193262,PHOTO,"Nhanh tay kẻo “cưới hụt” nha anh em cờ thủ ơiiiii 😘😘😘
----------------------—
- Trang nạp chính thức của ĐTCL Mobile: https://shop.vnggames.com/vn/game/dtcl
- Mua RP tại trang web chính thức: https://shop.vnggames.com/vn/game/lienminh
- Đội ngũ hỗ trợ người chơi của chúng tôi sẽ luôn sẵn sàng hỗ trợ tại: https://dtcl.vnggames.com/ho-tro-khach-hang/
#dautruongchanlyofficial #dautruongchanlymobile #dautruongchanlychannel",https://www.facebook.com/DTCLVN/posts/pfbid02Hw2o6dSnSJyPrrTQiJZPAGuLpHDx8N3Q69GMWL6ziDvboE3fq7GHh5NvYPx7kJKNl,2026-01-03 15:30:34,#dautruongchanlyofficial #dautruongchanlymobile #dautruongchanlychannel,91,67,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41532733,Facebook,109434243802681,Đấu Trường Chân Lý,,track-competitors,1302971258518905,TEXT,Anh em nhà này ngầu quá điii 😎😎😎 #dautruongchanlymobile #dautruongchanlyofficial #dautruongchanlychannel,https://www.facebook.com/reel/1234142434968505/,2026-01-03 18:01:52,#dautruongchanlymobile #dautruongchanlyofficial #dautruongchanlychannel,3212,3150,55,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41532730,Facebook,109434243802681,Đấu Trường Chân Lý,,track-competitors,1303048628511168,ALBUM,"Ad lên top đội hình mạnh dễ vào top phiên bản 16.1C 😎😎😎 Anh em cờ thủ xem và khen 😉😉😉
----------------------—
- Trang nạp chính thức của ĐTCL Mobile: https://shop.vnggames.com/vn/game/dtcl
- Mua RP tại trang web chính thức: https://shop.vnggames.com/vn/game/lienminh
- Đội ngũ hỗ trợ người chơi của chúng tôi sẽ luôn sẵn sàng hỗ trợ tại: https://dtcl.vnggames.com/ho-tro-khach-hang/
#dautruongchanlyofficial #dautruongchanlymobile #dautruongchanlychannel",https://www.facebook.com/DTCLVN/posts/pfbid02fHh8sHec1K26FKyQVzmogKXBTbBdasu9kGtmymf1AsTECwGYoCSQyprjkmihjXKul,2026-01-03 20:06:01,#dautruongchanlyofficial #dautruongchanlymobile #dautruongchanlychannel,391,248,62,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41532715,Facebook,109434243802681,Đấu Trường Chân Lý,,track-competitors,1303492431800121,TEXT,Counter T-Hex và Diana siêu đơn giản 🔥🔥🔥 #dautruongchanlyofficial #dautruongchanlychannel #dautruongchanlymobile,https://www.facebook.com/reel/1876819270378921/,2026-01-04 11:38:39,#dautruongchanlyofficial #dautruongchanlychannel #dautruongchanlymobile,1525,1471,33,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41532713,Facebook,109434243802681,Đấu Trường Chân Lý,,track-competitors,1303540141795350,PHOTO,"Reroll tầm này thì ngon lunnn 😋😋😋
----------------------—
- Trang nạp chính thức của ĐTCL Mobile: https://shop.vnggames.com/vn/game/dtcl
- Mua RP tại trang web chính thức: https://shop.vnggames.com/vn/game/lienminh
- Đội ngũ hỗ trợ người chơi của chúng tôi sẽ luôn sẵn sàng hỗ trợ tại: https://dtcl.vnggames.com/ho-tro-khach-hang/
#dautruongchanlyofficial #dautruongchanlymobile #dautruongchanlychannel",https://www.facebook.com/DTCLVN/posts/pfbid02PzUCxpBXw5VU5Cxcw8J5PognHPeuizN91FzyjBxfgXdcdAWbQ4CdeBbYoM23teBBl,2026-01-04 13:30:07,#dautruongchanlyofficial #dautruongchanlymobile #dautruongchanlychannel,90,88,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41532712,Facebook,109434243802681,Đấu Trường Chân Lý,,track-competitors,1303611755121522,PHOTO,"Chú cá tinh nghịch chơi hệ nào cũng khoẻ 😎😎😎
----------------------—
- Trang nạp chính thức của ĐTCL Mobile: https://shop.vnggames.com/vn/game/dtcl
- Mua RP tại trang web chính thức: https://shop.vnggames.com/vn/game/lienminh
- Đội ngũ hỗ trợ người chơi của chúng tôi sẽ luôn sẵn sàng hỗ trợ tại: https://dtcl.vnggames.com/ho-tro-khach-hang/
#dautruongchanlyofficial #dautruongchanlymobile #dautruongchanlychannel",https://www.facebook.com/DTCLVN/posts/pfbid0SBvGAYrgmbbVGeUmJvJLauyMTzeJGcgCwZtiEcKtHJ6CVVsW4acr9PvaSoUuhEjCl,2026-01-04 16:00:36,#dautruongchanlyofficial #dautruongchanlymobile #dautruongchanlychannel,263,228,34,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
