ID,Platform,Channel id,Channel name,Channel tags,Category,Post id,Post type,Post description,Link,Publish time,Hashtag,Engagement,Reaction,Comment,Share,View,Engaged users,Negative feedback,Click,Impression Deprecated,Impression,Paid impression,Paid reach,Organic Impression,Organic reach,Viral Impression,Non-viral impression,Reaction_like,Reaction_love,Reaction_wow,Reaction_haha,Reaction_sorry,Reaction_angry,Video avg time watched (second),Organic view,Paid view,View time (second),Organic complete view,Paid complete view,15s view,Organic view time (second),Unique Viewer,Duration (second),3s view
41432101,Facebook,267696003089092,Roblox VN,,track-competitors,122311459298232045,TEXT,"Chiến hạm xịn xò nhất cũng phải chịu thua chiếc bè này của Roblox VN 🫠

#roblox #robloxvng #robloxfyp #rustyrafts",https://www.facebook.com/reel/967708672546606/,2026-05-12 20:13:07,#roblox #robloxvng #robloxfyp #rustyrafts,3251,2966,104,181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41432100,Facebook,267696003089092,Roblox VN,,track-competitors,122311557818232045,TEXT,"Ai rồi cũng sẽ khác, nhưng outfit Wii Mii thì mãi cute 🥰

#roblox #robloxvng #robloxfyp #robloxoutfits #robloxavatar",https://www.facebook.com/reel/964101413263630/,2026-05-13 11:33:23,#roblox #robloxvng #robloxfyp #robloxoutfits #robloxavatar,343,313,24,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41432099,Facebook,267696003089092,Roblox VN,,track-competitors,122311611878232045,TEXT,"Nghe giọng này thì người đẹp nào cũng tan chảy 😌

#roblox #robloxvng #robloxfyp #robloxgames #beautyandabeat",https://www.facebook.com/reel/26771510229207964/,2026-05-13 19:35:00,#roblox #robloxvng #robloxfyp #robloxgames #beautyandabeat,83640,74477,1367,7796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41432098,Facebook,267696003089092,Roblox VN,,track-competitors,122311724120232045,REEL,"Chi tiết full người, ấn tượng full lực 🤭

#roblox #robloxvng #robloxfyp #robloxoutfits #robloxavatar",https://www.facebook.com/reel/26814322628209405/,2026-05-14 12:16:02,#roblox #robloxvng #robloxfyp #robloxoutfits #robloxavatar,334,299,28,7,22000,,,,,,,,,,,,,,,,,,,,,,,,,,,17,6306
41432097,Facebook,267696003089092,Roblox VN,,track-competitors,122311772312232045,TEXT,"Giấu nghề hơi kỹ quá rồi đó nha 😇

#roblox #robloxvng #robloxfyp #robloxgames #cirqueschoolofacrobatics",https://www.facebook.com/reel/1619625939126226/,2026-05-14 19:30:54,#roblox #robloxvng #robloxfyp #robloxgames #cirqueschoolofacrobatics,5083,4797,143,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41432096,Facebook,267696003089092,Roblox VN,,track-competitors,122311882106232045,TEXT,"Lên xe ngay đi! Không thì bị bỏ lại ráng chịu đó nha! 🫠

#roblox #robloxvng #robloxfyp #everyonegetinthecar #meme",https://www.facebook.com/reel/970117465624177/,2026-05-15 11:38:00,#roblox #robloxvng #robloxfyp #everyonegetinthecar #meme,1004,919,71,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41432095,Facebook,267696003089092,Roblox VN,,track-competitors,122311935554232045,REEL,"Gặp việc gì khó, cứ đi vòng qua là xong😇

#roblox #robloxvng #robloxfyp #walkaroundit #meme",https://www.facebook.com/reel/928220090194489/,2026-05-15 19:36:11,#roblox #robloxvng #robloxfyp #walkaroundit #meme,460,393,63,4,22000,,,,,,,,,,,,,,,,,,,,,,,,,,,16,7877
41432094,Facebook,267696003089092,Roblox VN,,track-competitors,122312051606232045,TEXT,"Mỗi lần bạn có map mới chuẩn bị có chuyện để kể 😇

#roblox #robloxvng #robloxfyp #robloxgames #rustyrafts",https://www.facebook.com/reel/983027407756707/,2026-05-16 11:33:35,#roblox #robloxvng #robloxfyp #robloxgames #rustyrafts,1022,955,46,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41432093,Facebook,267696003089092,Roblox VN,,track-competitors,122312104592232045,TEXT,"Đố viu ơ đoán được tụi mình sẽ trộn ra màu gì 🫣

#roblox #robloxvng #robloxfyp #colormixing #masetalamasetala",https://www.facebook.com/reel/2733799187017642/,2026-05-16 19:39:21,#roblox #robloxvng #robloxfyp #colormixing #masetalamasetala,1072,1009,58,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41432092,Facebook,267696003089092,Roblox VN,,track-competitors,122312206982232045,REEL,"Item của Roblox VN đấy Độc đáo, phá cách, quá oách xà lách 😎

#roblox #robloxvng #robloxfyp #robloxoutfits #robloxavatar",https://www.facebook.com/reel/858173783998722/,2026-05-17 11:36:42,#roblox #robloxvng #robloxfyp #robloxoutfits #robloxavatar,715,668,37,10,37000,,,,,,,,,,,,,,,,,,,,,,,,,,,17,11109
